GRNDS_ARVL_YMD,IGTN_HTSRC_SCLSF_NM,IGTN_HTSRC_LCLSF_NM,OCRN_YMD,MBLZ_EQPMNT_CNT,WHOL_MNPW_CNT,TP_VL,GRNDS_SGG_NM,CBK_YMD,GRNDS_DSTNC,LYCRG_FRBRG_NOPE,MBLZ_POLICEO_CNT,BGNN_POTFR_TM,FRST_IGOBJ_LCLSF_NM,MBLZ_PRVTM_GAS_REL_INST_CNT,HUM_VL,INJPSN_CNT,ACDNT_OCRN_LOT,FIRE_OCRN_HR,GRNDS_ARVL_TM,PRFECT_POTFR_TM,WTHR_INFO,FCLT_PLC_SCLSF_NM,BGNN_POTFR_YMD,CMBS_EXPOBJ_LCLSF_NM,ACDNT_OCRN_LAT,DSPT_TM,DCSD_CNT,OCRN_CS_NM,MBLZ_FFPWR_CNT,FIRE_TYPE_NM,CBK_TM,ETC_MBLZ_NOPE,MBLZ_GNRL_OCPT_NOPE,RCPT_YMD,IGTN_CS_NM,RCPT_TM,PRFECT_POTFR_YMD,IGTN_DMNT_SCLSF_NM,DSPT_REQ_TM,FRST_IGOBJ_SCLSF_NM,HR_UNIT_WSPD,LFDAU_GRNDS_DSTNC,FRSTN_NM,DSPT_YMD,PRPT_DAM_AMT,CMBS_EXPOBJ_SCLSF_NM,year,IGTN_BRNCH_NM,SN,IGTN_DMNT_LCLSF_NM,MBLZ_SOLD_CNT,CNTR_GRNDS_DSTNC,HR_UNIT_WNDRCT,FIRE_SUPESN_REQ_TM,CNTR_NM,HNL_DAM_CNT,GRNDS_SGG_NM_CLEAN,merge_key,피해면적_합계
20160104,화학적폭발,폭발물/폭죽,2016-01-04,17,100,20.0,고성군,20160104,13,25,6,13200,종이/목재/건초등,0,29,0,,113100,115335,133200,맑음,공유림,20160104,,,113226,0,,7,임야,135234,0,45,20160104,군경사격장,113117,20160104,폭탄/탄약,2109,건초,315.0,13.0,고성소방서,20160104,0,,2016,산중턱,1,화학적요인,17,6,4.0,13825,거진119안전센터,0,고성,2016-01-04_고성,
20160105,불씨/불꽃/화원방치,불꽃/불티,2016-01-05,3,10,-2.0,화천군,20160105,40,0,0,15805,종이/목재/건초등,0,50,0,,135300,135605,135805,맑음,사유림,20160105,,,135404,0,,4,임야,142205,0,0,20160105,기타,135304,20160105,모닥불/연탄/숯,201,풀/나뭇잎,,0.0,춘천소방서,20160105,0,,2016,평지,2,부주의,6,2,,200,사내119안전센터,0,화천,2016-01-05_화천,
20160106,담배꽁초,담뱃불/라이터불,2016-01-06,12,73,20.0,고성군,20160106,10,18,7,34217,종이/목재/건초등,2,22,0,,150900,151538,155457,맑음,사유림,20160106,종이/목재/건초등,,151116,0,기상(건조/강풍등),18,임야,164823,0,28,20160106,기타,150954,20160106,담뱃불,422,풀/나뭇잎,270.0,10.0,고성소방서,20160106,0,풀/나뭇잎,2016,산아래,3,부주의,0,1,4.0,3919,거진119안전센터,0,고성,2016-01-06_고성,0.06
20160112,쓰레기소각,불꽃/불티,2016-01-12,3,84,0.0,양구군,20160112,43,38,15,24823,쓰레기류,10,26,0,,142400,143359,151223,맑음,사유림,20160112,,,142913,0,,6,임야,160223,0,15,20160112,쓰레기소각장,142459,20160112,쓰레기/논밭두렁,446,쓰레기,180.0,7.0,춘천소방서,20160112,628,,2016,평지,4,부주의,0,10,4.0,3824,양구119안전센터,0,양,2016-01-12_양,
20160113,논/임야태우기,담뱃불/라이터불,2016-01-13,9,46,-3.0,원주시,20160113,17,9,2,115446,종이/목재/건초등,20,0,0,,112400,114341,120532,맑음,사유림,20160113,종이/목재/건초등,,112552,0,기상(건조/강풍등),15,임야,124454,0,0,20160113,논/밭두렁,112406,20160113,라이터불/성냥불,1749,풀/나뭇잎,180.0,0.0,원주소방서,20160113,0,풀/나뭇잎,2016,산아래,5,부주의,0,11,4.0,2151,우산119안전센터,0,원주,2016-01-13_원주,0.03
20160119,불씨/불꽃/화원방치,불꽃/불티,2016-01-19,52,490,-7.0,강릉시,20160120,9,161,35,92750,종이/목재/건초등,2,25,0,,183500,184750,220650,맑음,사유림,20160119,종이/목재/건초등,,183627,0,기상(건조/강풍등)/원거리소방서/화재인지/신고지연,165,임야,20050,40,87,20160119,기타,183549,20160119,굴뚝아궁이,1123,풀/나뭇잎,315.0,0.0,강릉소방서,20160119,1125,나무,2016,산아래,6,부주의,0,9,8.0,31900,내곡119안전센터,0,강릉,2016-01-19_강릉,3.0
20160120,불씨/불꽃/화원방치,불꽃/불티,2016-01-20,12,45,-8.0,춘천시,20160120,10,0,12,11146,종이/목재/건초등,0,40,0,,125300,130619,131627,구름조금,사유림,20160120,,,125532,0,,14,임야,142616,0,19,20160120,기타,125303,20160120,모닥불/연탄/숯,1047,풀/나뭇잎,270.0,0.0,춘천소방서,20160120,0,,2016,산아래,7,부주의,0,9,4.0,1008,신북119안전센터,0,춘천,2016-01-20_춘천,
20160122,담배꽁초,담뱃불/라이터불,2016-01-22,12,37,-3.0,춘천시,20160122,11,0,10,45036,종이/목재/건초등,0,29,0,,163000,164226,165737,맑음,사유림,20160122,,,163315,0,,15,임야,180109,0,12,20160122,담뱃불,163033,20160122,담뱃불,911,풀/나뭇잎,135.0,0.0,춘천소방서,20160122,0,,2016,산아래,8,부주의,0,7,4.0,1511,강촌119안전센터,0,춘천,2016-01-22_춘천,0.01
20160123,불씨/불꽃/화원방치,불꽃/불티,2016-01-23,3,27,-11.0,철원군,20160123,20,0,0,123114,종이/목재/건초등,2,28,0,,115800,122014,123114,맑음,국유림,20160123,,,120116,0,,7,임야,143214,15,3,20160123,기타,115816,20160123,모닥불/연탄/숯,1858,나무,315.0,0.0,철원소방서,20160123,0,,2016,산아래,9,부주의,0,12,4.0,1100,동송119안전센터,0,철원,2016-01-23_철원,
20160125,불씨/불꽃/화원방치,불꽃/불티,2016-01-25,17,182,-5.0,춘천시,20160125,30,77,10,62249,종이/목재/건초등,45,25,0,,170200,171318,182249,맑음,사유림,20160125,,,170306,0,,19,임야,195927,0,31,20160125,미상,170211,20160125,굴뚝아궁이,1012,풀/나뭇잎,225.0,0.0,춘천소방서,20160125,0,,2016,산아래,10,부주의,0,7,4.0,10931,강촌119안전센터,0,춘천,2016-01-25_춘천,0.3
