GRNDS_ARVL_YMD,IGTN_HTSRC_SCLSF_NM,IGTN_HTSRC_LCLSF_NM,OCRN_YMD,MBLZ_EQPMNT_CNT,WHOL_MNPW_CNT,TP_VL,LFDAU_NM,FCLT_PLC_LCLSF_NM,FCLT_PLC_MCLSF_NM,GRNDS_SGG_NM,CBK_YMD,GRNDS_DSTNC,LYCRG_FRBRG_NOPE,MBLZ_POLICEO_CNT,BGNN_POTFR_TM,FRST_IGOBJ_LCLSF_NM,WRINV_NO,MBLZ_PRVTM_GAS_REL_INST_CNT,UPCLS_INST_NM,HUM_VL,INJPSN_CNT,ACDNT_OCRN_LOT,FIRE_OCRN_HR,GRNDS_ARVL_TM,PRFECT_POTFR_TM,WTHR_INFO,ROAD_NM,FCLT_PLC_SCLSF_NM,HNUM_NM,BGNN_POTFR_YMD,CMBS_EXPOBJ_LCLSF_NM,ACDNT_OCRN_LAT,DSPT_TM,DCSD_CNT,OCRN_CS_NM,MBLZ_FFPWR_CNT,FIRE_TYPE_NM,CBK_TM,ETC_MBLZ_NOPE,MBLZ_GNRL_OCPT_NOPE,RCPT_YMD,IGTN_CS_NM,SPNWS_CN,RCPT_TM,PRFECT_POTFR_YMD,IGTN_DMNT_SCLSF_NM,DSPT_REQ_TM,FRST_IGOBJ_SCLSF_NM,HR_UNIT_WSPD,LFDAU_GRNDS_DSTNC,FRSTN_NM,DSPT_YMD,PRPT_DAM_AMT,CMBS_EXPOBJ_SCLSF_NM,year,IGTN_BRNCH_NM,SN,GRNDS_CTPV_NM,IGTN_DMNT_LCLSF_NM,MBLZ_SOLD_CNT,CNTR_GRNDS_DSTNC,HR_UNIT_WNDRCT,FIRE_SUPESN_REQ_TM,CNTR_NM,HNL_DAM_CNT
20110122,방화의심,담뱃불/라이터불,20110122,8,37,-1.0,,임야,산불,강릉시,20110123,9,0,0,121115,종이/목재/건초등,110123000000000.0,0,강원소방본부,30,0,,233500,235315,1115,맑음,,사유림,108-41,20110123,종이/목재/건초등,,233615,0,원거리소방서/현장진입지연(불법주차)/화재인지/신고지연,19,임야,20515,0,18,20110122,기타,,233511,20110123,라이터불/성냥불,1700,풀/나뭇잎,45.0,0.0,강릉소방서,20110122,0,나무,2011,산정상,1,강원도,방화의심,0,9,8.0,1800,경포119안전센터,0
20110131,불씨/불꽃/화원방치,불꽃/불티,20110131,71,1872,1.0,,임야,산불,양양군,20110201,43,335,10,94538,종이/목재/건초등,110201000000000.0,8,강원소방본부,10,0,,181300,183024,103016,맑음,,사유림,289,20110201,기타,,181409,0,기상(건조/강풍등),270,임야,114552,549,700,20110131,기타,건조경보,181311,20110201,모닥불/연탄/숯,1615,풀/나뭇잎,225.0,0.0,양양소방서,20110131,184330,기타,2011,산아래,2,강원도,부주의,0,13,8.0,155952,하조대119안전센터,0
20110201,방화의심,기타,20110201,15,184,1.0,,임야,산불,강릉시,20110201,7,7,50,102300,종이/목재/건초등,110202000000000.0,0,강원소방본부,550,0,,210700,211500,223800,맑음,,사유림,147-3,20110201,,,210826,0,,17,임야,233000,0,110,20110201,기타,,210710,20110201,기타,634,잔디,135.0,0.0,강릉소방서,20110201,0,,2011,산정상,3,강원도,방화의심,0,6,4.0,12300,경포119안전센터,0
20110211,기타,기타,20110211,9,171,-2.0,내촌119지역대,임야,산불,홍천군,20110211,37,87,10,74100,종이/목재/건초등,110211000000000.0,33,강원소방본부,29,0,,175000,181500,202000,구름많음,,국유림,5,20110211,,,175220,0,,8,임야,214955,0,33,20110211,입산자실화,,175032,20110211,기타,2240,풀/나뭇잎,225.0,7.0,홍천소방서,20110211,4864,,2011,산중턱,4,강원도,기타,0,37,4.0,20500,서석119안전센터,0
20110212,불씨/불꽃/화원방치,불꽃/불티,20110212,9,94,-6.0,귀래119지역대,임야,산불,원주시,20110212,20,26,4,82038,종이/목재/건초등,110212000000000.0,38,강원소방본부,44,0,,61800,64029,103038,구름많음,,사유림,1894-3,20110212,종이/목재/건초등,,62010,0,화재인지/신고지연,11,임야,111838,15,0,20110212,모닥불,,61836,20110212,모닥불/연탄/숯,2019,풀/나뭇잎,225.0,8.0,원주소방서,20110212,50,풀/나뭇잎,2011,산중턱,5,강원도,부주의,0,20,4.0,35009,흥업119안전센터,0
20110226,담배꽁초,담뱃불/라이터불,20110226,8,46,14.0,,임야,산불,원주시,20110226,8,0,0,52601,종이/목재/건초등,110226000000000.0,36,강원소방본부,23,0,,164200,164901,172726,맑음,,사유림,363-33,20110226,종이/목재/건초등,,164353,0,기상(건조/강풍등),10,임야,183011,0,0,20110226,담뱃불,,164234,20110226,담뱃불,508,풀/나뭇잎,180.0,0.0,원주소방서,20110226,440,풀/나뭇잎,2011,산정상,6,강원도,부주의,0,2,4.0,3825,태장119안전센터,0
20110309,부주의,불꽃/불티,20110309,26,204,1.0,,임야,산불,영월군,20110310,9,41,5,50016,침구/직물류,110309000000000.0,67,강원소방본부,19,0,,131800,132916,200016,맑음,,국유림,,20110309,,,131916,0,,17,임야,83947,29,45,20110309,기타,,131855,20110309,불꽃/불티,1000,침구/직물류,225.0,8.0,영월소방서,20110309,600,,2011,산아래,7,강원도,부주의,0,9,8.0,63100,영월119안전센터,0
20110311,부주의,미상,20110311,10,214,5.0,,임야,산불,횡성군,20110311,17,15,5,21746,종이/목재/건초등,110311000000000.0,0,강원소방본부,43,0,,134200,140409,151737,맑음,,사유림,21,20110311,종이/목재/건초등,,134334,0,가연성물질의급격한연소/기상(건조/강풍등)/원거리소방서,10,임야,162000,74,110,20110311,입산자실화,,134249,20110311,미상,2035,풀/나뭇잎,225.0,0.0,횡성소방서,20110311,0,나무,2011,산정상,8,강원도,부주의,0,10,4.0,11328,우천119안전센터,0
20110314,미상,미상,20110314,5,116,4.0,,임야,산불,영월군,20110314,9,33,4,90022,미상,110315000000000.0,0,강원소방본부,67,0,,193500,195222,230622,맑음,,사유림,80,20110314,,,193540,0,,11,임야,234022,0,68,20110314,미상,,193519,20110314,미상,1642,미상,45.0,7.0,영월소방서,20110314,64,,2011,산아래,9,강원도,미상,0,9,4.0,31400,영월119안전센터,0
20110318,기타,기타,20110318,15,88,9.0,,임야,산불,홍천군,20110318,6,21,4,123300,종이/목재/건초등,110318000000000.0,10,강원소방본부,21,0,,115800,120327,124800,맑음,,사유림,,20110318,종이/목재/건초등,,115900,0,가연성물질의급격한연소,16,임야,134453,15,22,20110318,입산자실화,,115807,20110318,기타,427,풀/나뭇잎,315.0,0.0,홍천소방서,20110318,3264,풀/나뭇잎,2011,산정상,10,강원도,기타,0,6,4.0,4433,홍천119안전센터,0
